,Gender,Customer Type,Age,Type of Travel,Class,Inflight wifi service,Ease of Online booking,Food and drink,Seat comfort,On-board service,Baggage handling,Checkin service,Inflight service,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
795,Male,Loyal Customer,56,Business travel,Business,2,2,3,4,2,2,4,2,34,18,satisfied
796,Male,disloyal Customer,30,Business travel,Business,3,3,4,4,4,3,1,3,0,0,neutral or dissatisfied
797,Female,Loyal Customer,47,Business travel,Eco,3,4,3,3,3,3,1,3,0,0,neutral or dissatisfied
798,Male,disloyal Customer,22,Business travel,Eco,1,1,5,5,4,4,4,4,9,11,neutral or dissatisfied
799,Male,disloyal Customer,48,Business travel,Business,1,1,5,5,4,4,3,4,0,5,neutral or dissatisfied
800,Female,disloyal Customer,27,Business travel,Eco,2,2,5,5,2,3,1,5,0,0,neutral or dissatisfied
801,Male,Loyal Customer,60,Personal Travel,Eco,1,1,5,5,3,4,4,4,0,0,neutral or dissatisfied
802,Female,Loyal Customer,40,Business travel,Business,2,2,5,4,5,5,5,5,12,4,satisfied
803,Male,Loyal Customer,30,Business travel,Eco Plus,4,4,4,4,2,4,1,3,15,12,neutral or dissatisfied
804,Male,Loyal Customer,24,Business travel,Business,3,1,3,3,1,1,5,1,10,4,neutral or dissatisfied
805,Male,Loyal Customer,66,Personal Travel,Eco,0,0,4,4,5,3,4,5,0,0,satisfied
806,Female,Loyal Customer,56,Business travel,Business,3,3,2,3,3,3,3,3,0,0,neutral or dissatisfied
807,Female,Loyal Customer,70,Personal Travel,Eco,1,1,1,3,2,3,3,2,0,12,neutral or dissatisfied
808,Male,Loyal Customer,55,Personal Travel,Eco,2,2,2,2,5,5,4,4,0,0,neutral or dissatisfied
809,Female,Loyal Customer,17,Business travel,Business,1,4,1,1,4,4,4,4,29,29,neutral or dissatisfied
810,Male,Loyal Customer,46,Business travel,Business,2,1,3,4,2,2,1,2,0,0,neutral or dissatisfied
811,Male,Loyal Customer,24,Business travel,Business,1,1,2,2,4,5,4,5,0,0,satisfied
812,Female,Loyal Customer,59,Personal Travel,Eco,2,0,3,5,2,2,3,2,0,3,neutral or dissatisfied
813,Male,Loyal Customer,18,Personal Travel,Business,3,3,3,3,2,4,2,1,1,2,neutral or dissatisfied
814,Female,Loyal Customer,55,Personal Travel,Eco,1,3,3,3,4,5,3,3,136,156,neutral or dissatisfied
815,Male,Loyal Customer,46,Business travel,Eco,5,2,5,5,1,3,3,4,0,0,satisfied
816,Male,Loyal Customer,26,Personal Travel,Eco,5,5,5,4,4,5,5,5,0,0,satisfied
817,Female,disloyal Customer,22,Business travel,Eco,0,0,4,4,2,5,1,3,0,0,satisfied
818,Male,Loyal Customer,62,Personal Travel,Eco,2,2,5,5,3,5,4,4,0,0,neutral or dissatisfied
819,Male,Loyal Customer,20,Personal Travel,Eco,4,4,4,4,3,2,2,3,40,46,neutral or dissatisfied
820,Male,disloyal Customer,28,Business travel,Business,0,1,4,4,3,4,5,4,31,20,satisfied
821,Female,Loyal Customer,57,Personal Travel,Eco,1,1,2,4,3,3,5,3,3,0,neutral or dissatisfied
822,Female,Loyal Customer,9,Personal Travel,Eco,1,1,1,1,1,5,5,2,14,5,neutral or dissatisfied
823,Female,Loyal Customer,29,Business travel,Business,2,2,2,2,3,2,2,3,0,14,neutral or dissatisfied
824,Male,Loyal Customer,54,Business travel,Business,3,3,5,2,4,4,2,4,60,55,satisfied
825,Female,Loyal Customer,48,Business travel,Eco,4,4,1,2,4,4,3,4,64,69,satisfied
826,Female,disloyal Customer,47,Business travel,Business,4,4,3,3,5,5,3,5,11,0,satisfied
827,Female,Loyal Customer,40,Business travel,Eco,4,4,4,4,1,3,3,3,8,0,satisfied
828,Female,disloyal Customer,28,Business travel,Eco,3,2,1,1,5,3,4,2,0,0,neutral or dissatisfied
829,Male,Loyal Customer,27,Business travel,Business,5,1,5,5,5,4,5,4,0,0,satisfied
830,Male,Loyal Customer,59,Business travel,Business,4,4,2,5,4,4,5,4,0,0,satisfied
831,Male,Loyal Customer,28,Business travel,Eco,3,1,3,3,1,3,3,3,35,59,neutral or dissatisfied
832,Female,Loyal Customer,41,Business travel,Business,2,3,4,5,4,4,3,4,0,0,satisfied
833,Male,Loyal Customer,51,Personal Travel,Eco,4,4,2,2,5,5,5,1,0,32,neutral or dissatisfied
834,Male,Loyal Customer,55,Business travel,Business,3,1,3,4,3,3,3,3,0,0,neutral or dissatisfied
835,Male,Loyal Customer,29,Business travel,Business,4,4,5,5,4,4,4,4,0,0,satisfied
836,Female,disloyal Customer,35,Business travel,Business,4,4,2,2,4,5,4,5,3,3,neutral or dissatisfied
837,Male,Loyal Customer,39,Business travel,Business,2,2,3,4,5,5,5,5,4,0,satisfied
838,Female,disloyal Customer,49,Business travel,Business,1,1,4,4,3,4,3,4,0,1,neutral or dissatisfied
839,Male,Loyal Customer,53,Business travel,Business,2,4,3,2,2,2,4,2,42,25,neutral or dissatisfied
840,Male,Loyal Customer,54,Business travel,Business,5,5,5,4,5,5,3,5,0,0,satisfied
841,Female,Loyal Customer,44,Personal Travel,Eco,0,0,3,5,2,2,4,2,0,0,satisfied
842,Male,Loyal Customer,41,Business travel,Business,5,5,2,4,3,5,4,3,0,0,satisfied
843,Female,Loyal Customer,35,Personal Travel,Eco,1,1,1,1,4,5,3,4,0,1,neutral or dissatisfied
844,Male,Loyal Customer,49,Business travel,Business,1,1,3,5,4,4,3,4,0,0,satisfied
845,Male,Loyal Customer,65,Personal Travel,Eco,1,2,2,2,2,2,5,4,0,1,neutral or dissatisfied
846,Female,Loyal Customer,39,Business travel,Business,2,1,5,4,2,2,2,2,0,0,neutral or dissatisfied
847,Male,Loyal Customer,17,Business travel,Business,3,3,5,5,5,5,4,5,0,0,satisfied
848,Male,Loyal Customer,37,Personal Travel,Eco,3,3,3,3,4,3,1,3,93,99,neutral or dissatisfied
849,Male,Loyal Customer,34,Personal Travel,Eco,2,2,1,1,2,2,5,5,0,0,neutral or dissatisfied
850,Female,Loyal Customer,49,Business travel,Eco,5,1,2,5,4,4,4,4,49,49,satisfied
851,Female,Loyal Customer,54,Business travel,Business,3,3,2,4,5,5,5,5,0,0,satisfied
852,Female,disloyal Customer,20,Business travel,Eco,1,1,2,2,4,4,3,3,0,0,neutral or dissatisfied
853,Female,Loyal Customer,52,Business travel,Business,1,1,3,5,5,3,1,5,0,50,satisfied
854,Female,Loyal Customer,44,Personal Travel,Eco,4,4,2,4,5,2,3,5,5,0,satisfied
855,Female,disloyal Customer,21,Business travel,Eco,3,3,3,1,3,3,1,4,0,17,neutral or dissatisfied
856,Female,Loyal Customer,64,Personal Travel,Eco,2,2,5,4,4,3,1,4,81,72,neutral or dissatisfied
857,Male,Loyal Customer,49,Personal Travel,Eco,1,1,3,3,5,5,4,4,0,44,neutral or dissatisfied
858,Male,Loyal Customer,43,Personal Travel,Eco,1,1,1,2,1,4,4,4,0,0,neutral or dissatisfied
859,Female,Loyal Customer,45,Business travel,Business,4,4,4,4,4,4,4,4,1,0,neutral or dissatisfied
860,Female,Loyal Customer,57,Business travel,Business,2,2,4,4,4,5,4,4,0,0,satisfied
861,Male,Loyal Customer,63,Business travel,Eco,5,2,5,5,2,5,3,1,0,0,satisfied
862,Male,Loyal Customer,62,Personal Travel,Eco,1,1,4,4,4,2,1,3,0,11,neutral or dissatisfied
863,Female,Loyal Customer,61,Business travel,Eco Plus,2,5,1,3,2,2,4,2,0,23,neutral or dissatisfied
864,Female,disloyal Customer,18,Business travel,Eco Plus,1,0,2,2,4,4,1,3,44,58,neutral or dissatisfied
865,Female,Loyal Customer,46,Business travel,Business,3,3,4,4,3,5,4,4,416,407,satisfied
866,Female,Loyal Customer,43,Business travel,Business,2,2,5,5,4,4,5,4,18,2,satisfied
867,Male,Loyal Customer,56,Personal Travel,Eco,2,2,3,3,1,3,1,3,24,35,neutral or dissatisfied
868,Female,Loyal Customer,39,Business travel,Business,1,1,2,3,4,4,2,4,3,0,satisfied
869,Female,Loyal Customer,50,Business travel,Business,3,1,5,4,3,3,1,3,0,0,neutral or dissatisfied
870,Male,Loyal Customer,42,Business travel,Business,4,5,2,3,3,4,2,3,0,0,neutral or dissatisfied
871,Female,Loyal Customer,40,Business travel,Eco,4,2,4,4,1,3,3,3,0,7,satisfied
872,Female,Loyal Customer,41,Personal Travel,Eco,5,5,5,5,3,5,3,5,0,0,satisfied
873,Female,disloyal Customer,25,Business travel,Business,4,4,4,4,4,4,3,5,0,0,satisfied
874,Male,disloyal Customer,23,Business travel,Eco,5,0,4,2,5,4,4,4,0,2,satisfied
875,Male,disloyal Customer,17,Business travel,Business,4,4,2,2,5,5,3,5,0,0,satisfied
876,Male,Loyal Customer,10,Personal Travel,Eco,1,1,3,3,5,3,3,5,0,0,neutral or dissatisfied
877,Male,Loyal Customer,37,Business travel,Eco,4,4,4,4,3,3,2,4,0,0,satisfied
878,Male,disloyal Customer,20,Business travel,Eco,0,0,2,2,4,5,4,5,0,0,satisfied
879,Female,Loyal Customer,59,Business travel,Business,4,4,4,4,3,3,4,3,2,3,satisfied
880,Female,Loyal Customer,30,Business travel,Business,5,2,4,4,5,5,4,5,14,0,satisfied
881,Male,Loyal Customer,36,Business travel,Business,2,2,5,5,4,4,5,4,0,0,satisfied
882,Female,disloyal Customer,29,Business travel,Business,2,2,2,2,3,5,5,5,0,0,neutral or dissatisfied
883,Female,Loyal Customer,59,Personal Travel,Eco Plus,2,2,4,3,1,1,3,1,0,0,neutral or dissatisfied
884,Female,Loyal Customer,68,Personal Travel,Business,0,0,5,3,4,4,1,4,0,0,satisfied
885,Male,Loyal Customer,61,Business travel,Business,1,1,4,4,4,4,3,4,102,97,satisfied
886,Female,Loyal Customer,48,Personal Travel,Eco,4,4,4,4,3,2,5,3,0,0,neutral or dissatisfied
887,Male,Loyal Customer,25,Business travel,Business,1,1,4,4,1,2,4,1,46,48,satisfied
888,Male,Loyal Customer,8,Personal Travel,Eco,3,3,5,5,5,5,5,5,1,0,neutral or dissatisfied
889,Male,Loyal Customer,65,Personal Travel,Eco,2,2,5,5,4,4,1,4,0,0,neutral or dissatisfied
890,Male,Loyal Customer,26,Business travel,Business,2,5,2,2,2,4,2,4,0,15,neutral or dissatisfied
891,Male,Loyal Customer,53,Business travel,Business,4,2,1,4,4,4,2,4,6,11,neutral or dissatisfied
892,Female,disloyal Customer,29,Business travel,Eco,2,2,4,4,1,3,3,4,4,13,neutral or dissatisfied
893,Female,disloyal Customer,30,Business travel,Eco,2,2,4,4,2,3,3,3,0,0,neutral or dissatisfied
894,Female,Loyal Customer,50,Business travel,Business,1,5,1,3,1,1,1,1,13,5,neutral or dissatisfied
895,Female,Loyal Customer,31,Business travel,Business,1,3,1,1,4,3,1,4,0,0,neutral or dissatisfied
896,Female,Loyal Customer,41,Business travel,Business,4,5,3,5,4,4,3,4,10,5,satisfied
897,Female,Loyal Customer,44,Business travel,Eco,2,3,5,3,2,2,2,2,58,54,neutral or dissatisfied
898,Female,Loyal Customer,7,Personal Travel,Eco,2,2,1,1,5,5,1,4,0,0,neutral or dissatisfied
899,Male,Loyal Customer,59,Business travel,Business,3,3,5,4,4,4,4,4,0,0,satisfied
900,Female,Loyal Customer,53,Business travel,Business,2,2,5,4,5,5,5,5,0,0,satisfied
901,Male,Loyal Customer,43,Business travel,Business,4,5,1,4,4,4,3,4,2,0,neutral or dissatisfied
902,Male,Loyal Customer,46,Business travel,Business,2,5,4,4,2,2,2,2,39,29,neutral or dissatisfied
903,Male,Loyal Customer,24,Personal Travel,Business,2,2,2,2,4,4,4,3,0,0,neutral or dissatisfied
904,Male,Loyal Customer,39,Business travel,Business,3,3,3,2,4,4,3,4,0,0,satisfied
905,Male,disloyal Customer,37,Business travel,Business,1,1,5,5,3,5,4,4,2,15,neutral or dissatisfied
906,Female,Loyal Customer,40,Business travel,Eco,3,3,3,3,4,4,2,4,58,43,neutral or dissatisfied
907,Male,Loyal Customer,25,Personal Travel,Eco,3,3,4,4,1,4,3,4,0,18,neutral or dissatisfied
908,Female,Loyal Customer,28,Business travel,Eco,5,5,5,5,4,2,5,5,0,0,satisfied
909,Male,Loyal Customer,44,Business travel,Business,1,4,5,2,1,1,2,1,0,0,neutral or dissatisfied
910,Female,disloyal Customer,21,Business travel,Business,3,3,4,4,3,3,2,2,57,35,neutral or dissatisfied
911,Male,Loyal Customer,55,Business travel,Business,2,2,1,4,2,2,3,2,0,8,neutral or dissatisfied
912,Male,Loyal Customer,17,Personal Travel,Eco,3,3,5,1,4,4,1,4,0,0,neutral or dissatisfied
913,Male,Loyal Customer,49,Business travel,Business,4,4,5,5,3,3,5,3,0,0,satisfied
914,Male,Loyal Customer,39,Business travel,Eco,3,4,3,3,1,4,3,4,3,12,neutral or dissatisfied
915,Male,Loyal Customer,38,Personal Travel,Eco,4,4,5,5,5,4,3,4,0,0,satisfied
916,Male,Loyal Customer,33,Business travel,Business,1,1,4,4,5,5,3,5,0,0,satisfied
917,Female,Loyal Customer,35,Business travel,Business,1,1,4,5,5,5,5,5,0,0,satisfied
918,Male,disloyal Customer,45,Business travel,Business,3,3,4,1,5,5,4,4,0,0,neutral or dissatisfied
919,Female,Loyal Customer,70,Business travel,Business,2,3,1,3,2,2,3,2,0,0,neutral or dissatisfied
920,Male,Loyal Customer,30,Business travel,Business,3,2,4,4,5,4,3,4,11,0,satisfied
921,Female,disloyal Customer,42,Business travel,Eco Plus,3,3,5,5,1,5,4,1,0,0,neutral or dissatisfied
922,Female,Loyal Customer,34,Business travel,Eco Plus,0,0,2,2,5,4,4,5,3,14,satisfied
923,Male,Loyal Customer,24,Business travel,Eco,4,2,4,3,3,1,1,2,0,0,satisfied
924,Male,Loyal Customer,39,Business travel,Business,2,3,4,4,3,2,2,3,105,101,neutral or dissatisfied
925,Male,Loyal Customer,48,Personal Travel,Eco,3,3,3,3,4,4,4,4,5,11,neutral or dissatisfied
926,Male,Loyal Customer,44,Business travel,Eco,2,2,2,2,4,5,3,4,20,0,satisfied
927,Male,Loyal Customer,31,Business travel,Eco,2,1,2,2,3,2,3,3,5,7,neutral or dissatisfied
928,Female,Loyal Customer,37,Business travel,Business,3,3,1,5,4,4,1,4,0,0,satisfied
929,Male,Loyal Customer,80,Business travel,Business,1,1,1,5,4,4,2,4,50,37,satisfied
930,Male,disloyal Customer,22,Business travel,Eco,5,4,4,5,3,4,5,5,0,0,satisfied
931,Male,Loyal Customer,52,Personal Travel,Eco,0,0,1,1,4,5,5,5,0,0,satisfied
932,Male,Loyal Customer,59,Personal Travel,Eco,3,5,1,1,2,3,3,3,5,29,neutral or dissatisfied
933,Male,Loyal Customer,69,Business travel,Business,3,3,2,4,3,3,3,3,0,0,neutral or dissatisfied
934,Female,Loyal Customer,44,Business travel,Eco,5,4,5,3,5,5,2,5,0,0,satisfied
935,Female,Loyal Customer,14,Personal Travel,Eco,4,4,1,1,5,4,5,4,0,0,neutral or dissatisfied
936,Female,Loyal Customer,54,Business travel,Business,3,3,2,1,5,5,5,5,0,0,satisfied
937,Female,Loyal Customer,68,Personal Travel,Eco,4,4,4,3,5,5,4,5,4,0,neutral or dissatisfied
938,Male,disloyal Customer,35,Business travel,Business,4,4,5,5,3,3,2,3,10,16,neutral or dissatisfied
939,Male,Loyal Customer,31,Business travel,Eco,5,1,5,5,3,5,2,2,0,0,satisfied
940,Female,Loyal Customer,54,Business travel,Eco,5,5,1,5,5,5,3,5,0,0,satisfied
941,Female,Loyal Customer,47,Business travel,Business,3,3,2,4,4,4,4,4,0,0,satisfied
942,Male,Loyal Customer,30,Business travel,Business,4,4,2,2,5,4,5,5,15,8,satisfied
943,Male,Loyal Customer,40,Business travel,Business,2,2,2,4,4,4,3,4,31,23,satisfied
944,Male,Loyal Customer,46,Business travel,Business,3,5,3,3,3,3,1,3,24,0,neutral or dissatisfied
945,Female,Loyal Customer,40,Personal Travel,Business,2,2,3,5,5,5,3,5,93,101,neutral or dissatisfied
946,Male,Loyal Customer,40,Business travel,Business,2,5,2,5,5,5,3,5,81,96,satisfied
947,Female,Loyal Customer,29,Personal Travel,Eco,3,3,5,5,3,5,3,5,0,0,neutral or dissatisfied
948,Female,Loyal Customer,53,Business travel,Eco Plus,2,5,4,3,3,3,2,3,0,0,neutral or dissatisfied
949,Female,disloyal Customer,17,Business travel,Business,0,0,4,4,4,5,5,4,11,0,satisfied
950,Male,Loyal Customer,27,Business travel,Business,1,3,5,5,5,4,3,4,0,0,satisfied
951,Female,Loyal Customer,77,Business travel,Business,4,3,5,3,2,4,1,2,0,11,neutral or dissatisfied
952,Male,Loyal Customer,36,Business travel,Eco Plus,2,3,2,2,1,3,3,3,21,37,neutral or dissatisfied
953,Male,Loyal Customer,43,Personal Travel,Eco,3,3,3,3,5,2,1,3,68,43,neutral or dissatisfied
954,Female,Loyal Customer,68,Business travel,Business,3,3,3,5,3,3,5,3,113,105,satisfied
955,Male,Loyal Customer,28,Personal Travel,Eco,3,3,5,5,3,5,3,5,17,13,neutral or dissatisfied
956,Male,disloyal Customer,25,Business travel,Eco,2,2,4,4,3,1,3,1,25,29,neutral or dissatisfied
957,Female,Loyal Customer,39,Business travel,Business,2,2,2,5,4,4,4,4,0,0,satisfied
958,Female,Loyal Customer,55,Personal Travel,Eco,1,1,2,4,3,3,3,3,0,0,neutral or dissatisfied
959,Male,Loyal Customer,58,Business travel,Business,3,3,5,4,4,4,3,4,2,0,satisfied
960,Female,Loyal Customer,18,Business travel,Eco Plus,0,0,4,4,1,3,1,2,20,20,satisfied
961,Female,Loyal Customer,64,Business travel,Business,5,5,2,1,5,4,5,5,0,0,satisfied
962,Male,Loyal Customer,7,Personal Travel,Eco,4,4,5,5,4,3,2,2,0,0,neutral or dissatisfied
963,Male,Loyal Customer,41,Business travel,Business,3,3,5,5,3,4,5,3,0,11,satisfied
964,Female,Loyal Customer,56,Personal Travel,Eco,3,3,1,4,3,3,1,3,0,0,neutral or dissatisfied
965,Male,Loyal Customer,9,Personal Travel,Eco,1,1,1,1,3,4,4,5,0,0,neutral or dissatisfied
966,Male,Loyal Customer,25,Personal Travel,Eco,3,3,3,3,3,5,5,4,0,0,neutral or dissatisfied
967,Male,disloyal Customer,24,Business travel,Eco,1,1,4,1,1,3,2,2,0,0,neutral or dissatisfied
968,Female,Loyal Customer,55,Business travel,Business,2,2,2,4,5,5,5,5,0,0,satisfied
969,Female,disloyal Customer,17,Business travel,Eco,3,3,4,4,2,3,1,4,40,29,neutral or dissatisfied
970,Female,Loyal Customer,55,Business travel,Business,2,2,4,5,5,5,5,5,0,0,satisfied
971,Male,Loyal Customer,37,Business travel,Business,4,1,2,3,4,4,1,4,28,19,neutral or dissatisfied
972,Male,Loyal Customer,25,Business travel,Eco Plus,3,5,3,2,2,4,4,3,86,82,neutral or dissatisfied
973,Male,Loyal Customer,46,Business travel,Eco Plus,5,5,5,5,1,5,5,5,0,0,satisfied
974,Male,Loyal Customer,39,Business travel,Business,5,4,3,5,4,4,4,4,4,8,satisfied
975,Female,Loyal Customer,27,Personal Travel,Eco,2,2,1,1,1,4,2,3,124,114,neutral or dissatisfied
976,Female,disloyal Customer,21,Business travel,Eco,2,2,2,2,2,3,2,2,137,138,neutral or dissatisfied
977,Female,Loyal Customer,39,Personal Travel,Eco,2,0,0,3,2,3,3,1,187,191,neutral or dissatisfied
978,Male,Loyal Customer,64,Personal Travel,Eco,3,3,2,2,5,1,4,3,0,0,neutral or dissatisfied
979,Female,disloyal Customer,27,Business travel,Eco,2,3,2,2,1,5,4,3,0,0,neutral or dissatisfied
980,Male,disloyal Customer,37,Business travel,Eco,3,3,5,5,4,3,2,3,0,0,neutral or dissatisfied
981,Female,Loyal Customer,63,Personal Travel,Eco Plus,5,5,2,4,2,2,3,2,0,0,satisfied
982,Male,disloyal Customer,32,Business travel,Business,2,2,4,4,5,5,4,4,0,0,neutral or dissatisfied
983,Female,Loyal Customer,59,Business travel,Business,3,3,3,4,3,5,3,3,1,0,satisfied
984,Female,Loyal Customer,40,Business travel,Eco Plus,2,1,2,2,2,4,3,3,8,10,neutral or dissatisfied
985,Male,Loyal Customer,57,Personal Travel,Eco,3,3,4,4,3,5,4,4,26,27,neutral or dissatisfied
986,Male,disloyal Customer,25,Business travel,Eco,2,2,1,1,3,1,2,5,0,0,neutral or dissatisfied
987,Male,Loyal Customer,25,Personal Travel,Eco,3,3,5,5,4,4,5,5,5,0,neutral or dissatisfied
988,Male,Loyal Customer,60,Personal Travel,Eco Plus,3,3,5,5,3,5,5,5,7,0,neutral or dissatisfied
989,Male,Loyal Customer,61,Personal Travel,Eco,2,3,2,2,2,4,1,3,0,0,neutral or dissatisfied
990,Male,Loyal Customer,15,Personal Travel,Eco,2,2,1,1,4,4,4,5,7,0,neutral or dissatisfied
991,Female,Loyal Customer,51,Business travel,Eco,4,5,1,4,4,4,3,4,12,6,satisfied
992,Female,Loyal Customer,23,Business travel,Business,3,4,3,3,3,3,3,4,0,0,neutral or dissatisfied
993,Male,Loyal Customer,45,Business travel,Business,4,4,2,4,5,5,4,5,10,3,satisfied
994,Male,Loyal Customer,13,Personal Travel,Eco,5,5,4,4,4,5,5,4,0,4,satisfied
995,Female,disloyal Customer,31,Business travel,Business,2,2,5,5,3,3,4,4,18,6,neutral or dissatisfied
996,Male,Loyal Customer,40,Business travel,Business,3,3,2,5,3,3,4,3,0,0,satisfied
997,Female,Loyal Customer,47,Business travel,Business,2,2,5,5,4,4,5,4,9,0,satisfied
998,Male,Loyal Customer,15,Personal Travel,Eco Plus,3,3,2,2,4,1,4,1,0,0,neutral or dissatisfied
999,Female,disloyal Customer,41,Business travel,Eco,1,1,4,4,3,3,4,2,1,0,neutral or dissatisfied
1000,Male,Loyal Customer,22,Personal Travel,Eco,2,2,1,1,3,3,2,4,0,0,neutral or dissatisfied
1001,Male,Loyal Customer,30,Business travel,Business,1,1,5,5,3,5,4,1,36,33,satisfied
1002,Male,Loyal Customer,60,Business travel,Business,2,3,3,4,4,4,3,4,32,28,satisfied
1003,Male,Loyal Customer,39,Business travel,Business,5,5,1,3,5,5,1,5,0,0,satisfied
1004,Male,Loyal Customer,44,Business travel,Business,2,2,4,4,5,5,4,5,31,22,satisfied
1005,Female,Loyal Customer,49,Business travel,Eco,2,5,2,4,2,2,2,2,29,19,neutral or dissatisfied
1006,Male,Loyal Customer,35,Business travel,Business,5,5,2,5,4,4,3,4,0,0,satisfied
1007,Male,Loyal Customer,40,Personal Travel,Eco Plus,1,1,4,4,5,4,5,5,22,17,neutral or dissatisfied
1008,Male,Loyal Customer,47,Business travel,Eco,1,1,1,1,1,3,4,4,35,18,neutral or dissatisfied
1009,Female,Loyal Customer,12,Personal Travel,Eco Plus,1,1,2,2,2,3,3,3,1,0,neutral or dissatisfied
1010,Female,Loyal Customer,50,Personal Travel,Eco,3,3,4,5,4,5,5,4,0,0,neutral or dissatisfied
1011,Male,Loyal Customer,24,Business travel,Business,3,1,5,5,5,4,4,2,7,9,satisfied
1012,Male,Loyal Customer,52,Business travel,Eco,5,5,5,5,3,4,2,4,0,0,satisfied
1013,Female,Loyal Customer,14,Personal Travel,Eco,1,1,5,5,4,5,3,5,53,41,neutral or dissatisfied
1014,Male,Loyal Customer,16,Business travel,Business,2,4,2,2,3,3,4,4,0,0,neutral or dissatisfied
1015,Male,Loyal Customer,40,Business travel,Business,5,5,4,5,4,4,5,4,15,50,satisfied
1016,Male,Loyal Customer,54,Business travel,Eco,2,4,2,2,4,3,3,3,0,0,neutral or dissatisfied
1017,Male,Loyal Customer,72,Business travel,Business,4,4,5,4,4,4,1,4,0,0,neutral or dissatisfied
1018,Female,Loyal Customer,22,Business travel,Business,3,5,3,3,3,3,2,3,79,70,neutral or dissatisfied
1019,Male,Loyal Customer,24,Personal Travel,Eco,2,2,5,5,1,2,4,3,1,0,neutral or dissatisfied
1020,Female,Loyal Customer,45,Business travel,Business,2,5,3,2,2,2,2,2,31,30,neutral or dissatisfied
1021,Male,Loyal Customer,33,Business travel,Eco,4,3,4,4,5,2,4,3,0,0,satisfied
1022,Female,Loyal Customer,39,Business travel,Business,1,1,2,3,3,3,5,3,17,3,satisfied
1023,Male,disloyal Customer,21,Business travel,Eco,1,1,3,3,2,4,1,3,0,5,neutral or dissatisfied
1024,Male,Loyal Customer,41,Business travel,Eco,3,2,3,3,4,3,1,4,4,0,neutral or dissatisfied
1025,Female,disloyal Customer,39,Business travel,Eco,2,2,2,2,5,4,4,1,0,0,neutral or dissatisfied
1026,Female,disloyal Customer,24,Business travel,Eco,2,1,2,2,1,1,2,2,3,8,neutral or dissatisfied
1027,Male,Loyal Customer,51,Personal Travel,Eco,1,1,4,4,4,4,4,4,17,24,neutral or dissatisfied
1028,Female,disloyal Customer,44,Business travel,Eco,1,2,4,4,5,1,1,1,0,2,neutral or dissatisfied
1029,Male,Loyal Customer,42,Business travel,Business,5,3,4,4,4,4,4,4,5,18,satisfied
1030,Female,disloyal Customer,49,Business travel,Business,3,3,5,1,3,5,5,5,0,0,neutral or dissatisfied
1031,Male,Loyal Customer,61,Personal Travel,Eco,4,4,5,5,2,4,3,5,0,0,satisfied
1032,Female,Loyal Customer,59,Business travel,Business,2,4,5,4,5,5,5,5,3,0,satisfied
1033,Female,Loyal Customer,43,Business travel,Business,4,1,4,3,4,4,3,4,6,0,neutral or dissatisfied
1034,Female,Loyal Customer,48,Business travel,Business,2,1,3,4,2,2,2,2,0,0,neutral or dissatisfied
1035,Female,disloyal Customer,27,Business travel,Business,2,2,5,5,3,4,3,4,0,0,neutral or dissatisfied
1036,Female,Loyal Customer,40,Business travel,Business,1,1,4,5,3,4,5,3,247,286,satisfied
1037,Male,Loyal Customer,63,Personal Travel,Eco,3,3,2,2,5,3,4,5,7,17,neutral or dissatisfied
1038,Male,disloyal Customer,16,Business travel,Eco,2,2,5,5,4,3,3,4,0,0,neutral or dissatisfied
1039,Male,disloyal Customer,25,Business travel,Eco,2,2,2,2,3,5,4,4,0,0,neutral or dissatisfied
1040,Male,Loyal Customer,40,Business travel,Eco,1,3,1,1,2,3,4,4,0,0,neutral or dissatisfied
1041,Male,disloyal Customer,25,Business travel,Eco,4,4,5,5,3,4,5,4,14,22,satisfied
1042,Female,Loyal Customer,47,Personal Travel,Business,2,3,5,4,1,1,4,1,0,0,neutral or dissatisfied
1043,Female,Loyal Customer,36,Business travel,Business,4,1,5,3,4,4,4,4,0,0,neutral or dissatisfied
1044,Male,Loyal Customer,67,Personal Travel,Eco,2,1,5,5,1,2,1,3,0,0,neutral or dissatisfied
1045,Male,Loyal Customer,33,Business travel,Eco,1,2,1,1,3,3,1,3,13,12,neutral or dissatisfied
1046,Female,Loyal Customer,38,Business travel,Business,3,3,5,4,4,4,4,4,20,1,satisfied
1047,Male,Loyal Customer,46,Business travel,Business,0,0,1,2,4,5,3,4,13,0,satisfied
1048,Female,Loyal Customer,47,Business travel,Business,5,5,3,4,5,5,3,5,0,0,satisfied
1049,Male,disloyal Customer,26,Business travel,Business,4,4,2,2,4,5,5,4,0,0,satisfied
1050,Male,Loyal Customer,33,Business travel,Business,2,2,4,4,5,5,5,5,0,0,satisfied
1051,Female,Loyal Customer,44,Business travel,Business,4,4,5,4,2,2,5,2,0,0,satisfied
1052,Female,Loyal Customer,35,Business travel,Eco,2,1,2,2,2,5,4,5,0,0,satisfied
1053,Male,Loyal Customer,54,Personal Travel,Eco,3,2,5,5,4,4,1,4,0,0,neutral or dissatisfied
1054,Male,Loyal Customer,43,Business travel,Business,1,1,5,4,4,4,3,4,0,0,satisfied
1055,Female,disloyal Customer,37,Business travel,Eco,4,4,1,1,4,3,3,4,24,16,neutral or dissatisfied
1056,Female,Loyal Customer,16,Personal Travel,Eco,3,3,3,3,1,4,1,3,0,25,neutral or dissatisfied
